"ID","Sex","Twin","Horn","BirthYear","BirthWt","DaysSinceBirth","MumID","MumAge","PopSize","IGF1","PlateNumber","ELISARunDate","StorageTime","CapHour_Tertiles","Weight","ForeLeg","HornLen","BredAsAYearling","Survival"
12673,1,0,3,2021,2.910000086,111,9827,7,557,351.47401215,5,"8/3/2024",2,"Afternoon",13.55,119,80,1,0
12591,1,0,3,2021,1.899999976,119,10443,6,557,389.78467755,5,"8/3/2024",2,"Afternoon",12,102,85,0,1
12622,2,0,3,2021,2.75,114,8730,9,557,452.2214115,5,"8/3/2024",2,"Afternoon",14.65,119,142,0,0
12740,1,0,1,2021,1.580000043,104,12513,2,557,344.4143439,5,"8/3/2024",2,"Afternoon",7.2,95,13,0,0
12626,1,0,3,2021,1.889999986,114,11228,4,557,382.2622147,5,"8/3/2024",2,"Morning",13.4,110,92,0,1
12612,2,0,3,2021,2.5,124,11521,3,557,428.760053,5,"8/3/2024",2,"Morning",15.35,113,175,0,0
12677,2,0,3,2021,2.660000086,120,11560,3,557,434.42539555,5,"8/3/2024",2,"Morning",15.9,114,174,0,0
12631,1,0,2,2021,1.919999957,119,11604,3,557,352.9977451,5,"8/3/2024",2,"Morning",13.45,109,NA,1,0
12715,1,0,1,2021,2.859999895,115,9812,7,557,317.5577857,5,"8/3/2024",2,"Evening",13.25,113,2,1,0
12598,2,0,3,2021,2.089999914,123,11803,3,557,355.26451355,5,"8/3/2024",2,"Afternoon",14.6,109,65,0,0
12671,1,1,1,2021,1.320000052,113,8790,9,557,291.90136395,6,"8/3/2024",2,"Evening",7.55,92,NA,0,0
12674,2,1,3,2021,2.099999905,111,10438,6,557,509.6050986,6,"8/3/2024",2,"Afternoon",12.45,111,110,0,0
12746,2,0,3,2021,4.519999981,107,10348,6,557,419.3481832,6,"8/3/2024",2,"Morning",14.25,115,185,0,1
12716,1,0,2,2021,2,110,10190,6,557,318.9951978,6,"8/3/2024",2,"Afternoon",12.25,105,NA,1,0
11131,2,0,3,2017,2.299999952,125,8714,5,528,617.3805681,6,"8/3/2024",6,"Morning",17.2,113,130,1,0
11249,2,0,1,2017,2.150000095,105,6679,10,528,500.69256735,6,"8/3/2024",6,"Afternoon",10.9,108,33,0,0
11115,2,0,1,2017,2.50999999,126,9759,3,528,564.2771478,6,"8/3/2024",6,"Morning",12.8,110,41,0,0
11373,2,0,3,2017,NA,119,9822,3,528,428.78844655,6,"8/3/2024",6,"Afternoon",9.5,102,32,0,0
11123,1,0,2,2017,3.099999905,123,7055,9,528,426.0117083,6,"8/3/2024",6,"Afternoon",18.55,122,NA,1,1
11156,1,1,2,2017,1.929999948,112,8811,5,528,427.3402327,6,"8/3/2024",6,"Evening",9.85,105,NA,0,0
11159,2,0,3,2017,2.930000067,113,7205,8,528,602.84296855,6,"8/3/2024",6,"Afternoon",17.6,114,114,0,0
11124,1,0,1,2017,2.299999952,123,9093,4,528,407.03555025,6,"8/3/2024",6,NA,12.65,106,1,0,1
11211,1,1,2,2017,1.899999976,108,7576,7,528,259.90776795,6,"8/3/2024",6,"Afternoon",7.8,98,NA,0,0
11118,2,0,3,2017,2.25,127,9843,3,528,396.15582095,6,"8/3/2024",6,"Morning",14.95,108,160,0,NA
11139,2,0,3,2017,1.74000001,113,10180,2,528,327.82468585,6,"8/3/2024",6,"Afternoon",10.25,102,58,0,0
11141,2,1,3,2017,1.399999976,118,6827,9,528,390.71379155,6,"8/3/2024",6,"Morning",7.65,91,89,0,0
11126,2,1,3,2017,1.600000024,118,6644,10,528,464.2852216,6,"8/3/2024",6,"Evening",12.85,104,131,0,0
11130,1,0,3,2017,1.370000005,118,8734,5,528,396.78336025,6,"8/3/2024",6,"Evening",10.55,103,88,0,0
11240,1,0,1,2017,1.700000048,116,9838,3,528,375.11851225,6,"8/3/2024",6,"Morning",10.95,107,4,1,0
11157,2,1,3,2017,1.860000014,112,8811,5,528,462.25473825,6,"8/3/2024",6,"Afternoon",11.05,101,69,0,NA
12002,2,1,1,2019,1.649999976,103,6969,11,508,251.7244819,6,"8/3/2024",4,NA,7.6,100,5,0,0
12027,2,1,3,2019,1.659999967,100,6663,12,508,166.9944665,6,"8/3/2024",4,"Morning",5.85,93,87,0,0
11982,2,0,3,2019,2.710000038,111,8730,7,508,538.6201992,6,"8/3/2024",4,"Afternoon",15.35,117,143,0,0
11855,2,0,3,2019,2.440000057,129,8714,7,508,460.4976472,6,"8/3/2024",4,"Evening",15.7,114,88,0,NA
11980,2,0,3,2019,2.460000038,106,9216,6,508,512.040121,6,"8/3/2024",4,"Morning",13.8,111,179,0,0
11858,1,0,2,2019,2.25,117,7454,9,508,402.22632765,6,"8/3/2024",4,"Afternoon",13.2,113,NA,1,0
